City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
543,Grande Riviere Du Nord,HT,19.58,-72.18,77.27,89,17,3.96,few clouds
544,Destin,US,30.39,-86.50,84.83,81,1,4.61,clear sky
545,Kahului,US,20.89,-156.47,84.22,70,20,25.32,few clouds
546,Labuhan,ID,-6.88,112.21,80.38,75,49,5.32,scattered clouds
547,Road Town,VG,18.42,-64.62,83.19,78,40,8.05,scattered clouds
548,Samfya,ZM,-11.36,29.56,74.77,37,42,6.55,scattered clouds
549,Yarmouth,US,41.71,-70.23,66.34,95,75,0.0,broken clouds
550,Cardston,CA,49.20,-113.30,52.09,37,100,6.91,overcast clouds
551,Valparaiso,CL,-33.04,-71.63,71.83,54,0,12.66,clear sky
552,Nizwa,OM,22.93,57.53,77.31,47,0,3.15,clear sky
553,Bayanday,RU,53.07,105.51,33.87,68,98,4.85,overcast clouds
554,Weligama,LK,5.97,80.42,77.65,86,98,9.6,heavy intensity rain
555,Greenwood,US,34.17,-82.12,73.99,66,75,5.75,broken clouds
556,Vila Franca Do Campo,PT,37.72,-25.43,68.41,79,25,5.5,scattered clouds
557,Mnogovershinnyy,RU,53.94,139.92,34.21,81,48,3.58,scattered clouds
558,Santa Maria,BR,-29.68,-53.81,72.7,46,0,2.3,clear sky
559,Merauke,ID,-8.47,140.33,81.81,79,92,9.53,overcast clouds
560,Qaqortoq,GL,60.72,-46.03,28.9,47,38,5.39,scattered clouds
561,Musoma,TZ,-1.50,33.80,71.62,94,75,0.0,broken clouds
562,Mlonggo,ID,-6.53,110.70,76.89,73,91,6.38,overcast clouds
563,Lakhna,IN,26.65,79.15,70.97,69,8,5.06,clear sky
564,Carutapera,BR,-1.20,-46.02,80.49,79,42,8.37,scattered clouds
565,Ostrovnoy,RU,68.05,39.51,20.75,95,68,6.11,broken clouds
566,Ust-Uda,RU,54.17,103.03,36.55,73,100,4.59,overcast clouds
567,Cabedelo,BR,-6.98,-34.83,81.27,69,71,15.99,broken clouds
568,Belmonte,BR,-15.86,-38.88,77.5,91,100,7.85,overcast clouds
569,Bundaberg,AU,-24.85,152.35,77.22,95,40,1.99,light rain
570,Astoria,US,46.19,-123.83,55.85,89,90,4.0,overcast clouds
571,Kiunga,PG,-6.12,141.29,78.96,89,100,1.57,overcast clouds
572,Xai-Xai,MZ,-25.05,33.64,70.36,92,99,6.53,overcast clouds
573,Belyy Yar,RU,53.60,91.39,46.29,66,0,6.71,clear sky
574,Bennettsville,US,34.62,-79.68,79.36,77,90,3.44,overcast clouds
575,Santa Rita,BR,-7.11,-34.98,81.27,74,20,9.22,few clouds
576,Nhulunbuy,AU,-12.23,136.77,86.61,70,75,11.5,broken clouds
577,Clonmel,IE,52.35,-7.70,53.42,90,100,7.31,overcast clouds
578,Sosnowiec,PL,50.29,19.10,46.11,76,96,3.78,overcast clouds
579,Pundaguitan,PH,6.37,126.17,81.52,79,91,7.45,overcast clouds
